,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
170,Tunceli,TR,2020-04-02 19:50:28,39.11,39.55,50.0,71,75,3.36,broken clouds,0.0,0.0
171,Gombong,ID,2020-04-02 19:50:29,-7.61,109.51,78.3,84,97,2.06,overcast clouds,0.0,0.0
172,Paraiso,CR,2020-04-02 19:50:29,9.84,-83.87,86.0,42,75,4.7,broken clouds,0.0,0.0
173,San Pedro,PH,2020-04-02 19:48:33,14.35,121.02,79.0,69,20,3.36,few clouds,0.0,0.0
174,Laela,TZ,2020-04-02 19:50:29,-8.57,32.05,61.65,62,97,6.55,light rain,0.013385826771653545,0.0
175,Adet,ET,2020-04-02 19:50:29,11.26,37.49,66.87,28,93,2.26,overcast clouds,0.0,0.0
176,Townsville,AU,2020-04-02 19:50:30,-19.25,146.8,71.01,100,15,7.11,light rain,0.006299212598425198,0.0
177,Avarua,CK,2020-04-02 19:48:18,-21.21,-159.78,80.6,88,75,10.29,broken clouds,0.0,0.0
178,Yago,MX,2020-04-02 19:50:30,21.83,-105.07,87.8,38,5,8.05,clear sky,0.0,0.0
179,Nikolsk,RU,2020-04-02 19:50:30,53.72,46.07,32.67,83,77,8.41,broken clouds,0.0,0.0
180,Pak Phanang,TH,2020-04-02 19:50:30,8.35,100.2,80.26,79,23,2.98,light rain,0.005511811023622048,0.0
181,Keti Bandar,PK,2020-04-02 19:50:31,24.14,67.45,75.4,80,0,10.07,clear sky,0.0,0.0
182,Prince Rupert,CA,2020-04-02 19:49:59,54.32,-130.32,39.2,55,1,6.93,clear sky,0.0,0.0
183,Nanortalik,GL,2020-04-02 19:48:28,60.14,-45.24,24.57,79,0,4.16,clear sky,0.0,0.0
184,Strezhevoy,RU,2020-04-02 19:50:32,60.73,77.59,33.8,95,75,13.42,light intensity shower rain,0.0,0.0
185,Pueblo Nuevo,MX,2020-04-02 19:50:32,23.38,-105.38,78.44,11,4,10.78,clear sky,0.0,0.0
186,Andros Town,BS,2020-04-02 19:50:32,24.7,-77.77,77.0,47,20,9.17,few clouds,0.0,0.0
187,Semey,KZ,2020-04-02 19:50:33,50.41,80.23,39.04,82,17,6.02,few clouds,0.0,0.0
188,Kodiak,US,2020-04-02 19:48:39,57.79,-152.41,39.2,86,90,3.36,overcast clouds,0.0,0.0
189,San Ramon,US,2020-04-02 19:50:23,37.78,-121.98,66.0,31,1,5.82,clear sky,0.0,0.0
190,Kaitangata,NZ,2020-04-02 19:50:34,-46.28,169.85,53.01,84,11,2.1,few clouds,0.0,0.0
191,Balkanabat,TM,2020-04-02 19:50:34,39.51,54.37,61.52,55,64,11.48,broken clouds,0.0,0.0
192,San Luis,AR,2020-04-02 19:50:34,-33.3,-66.34,69.96,20,0,7.54,clear sky,0.0,0.0
193,Lalupon,NG,2020-04-02 19:50:35,7.47,4.07,79.92,74,100,6.67,overcast clouds,0.0,0.0
194,Hovd,MN,2020-04-02 19:50:35,48.01,91.64,27.97,45,0,5.97,clear sky,0.0,0.0
195,Sitka,US,2020-04-02 19:46:34,57.05,-135.33,35.6,51,1,4.7,clear sky,0.0,0.0
196,Talnakh,RU,2020-04-02 19:50:35,69.49,88.4,28.4,92,90,42.5,overcast clouds,0.0,0.0
197,Juneau,US,2020-04-02 19:46:49,58.3,-134.42,37.4,27,1,14.99,clear sky,0.0,0.0
198,Eenhana,NA,2020-04-02 19:50:35,-17.47,16.33,75.2,78,88,4.7,light rain,0.007086614173228346,0.0
199,Tyukhtet,RU,2020-04-02 19:50:35,56.54,89.3,38.82,87,100,10.07,light rain,0.022047244094488192,0.0
200,Saint Anthony,US,2020-04-02 19:48:25,45.02,-93.22,61.0,50,90,14.99,overcast clouds,0.0,0.0
201,Petropavlovsk-Kamchatskiy,RU,2020-04-02 19:50:36,53.05,158.65,30.2,100,90,11.18,light shower snow,0.0,0.0
202,Port Macquarie,AU,2020-04-02 19:45:50,-31.43,152.92,66.2,100,90,4.7,overcast clouds,0.0,0.0
203,Shetpe,KZ,2020-04-02 19:50:37,44.17,52.12,48.34,90,100,13.2,moderate rain,0.20236220472440944,0.0
204,Kalianget,ID,2020-04-02 19:50:37,-7.05,113.93,80.22,77,70,2.91,broken clouds,0.0,0.0
205,Tilichiki,RU,2020-04-02 19:50:37,60.47,166.1,8.65,91,0,6.02,clear sky,0.0,0.0
206,Bredasdorp,ZA,2020-04-02 19:48:26,-34.53,20.04,66.99,82,0,8.05,clear sky,0.0,0.0
207,Yulara,AU,2020-04-02 19:50:38,-25.24,130.99,75.2,60,81,5.82,broken clouds,0.0,0.0
208,Antofagasta,CL,2020-04-02 19:46:35,-23.65,-70.4,69.8,60,22,13.87,few clouds,0.0,0.0
209,Eyl,SO,2020-04-02 19:50:38,7.98,49.82,80.62,71,40,12.48,scattered clouds,0.0,0.0
210,Kahului,US,2020-04-02 19:47:19,20.89,-156.47,77.0,65,40,6.93,scattered clouds,0.0,0.0
211,Neuquen,AR,2020-04-02 19:50:39,-38.95,-68.06,77.0,23,0,3.36,clear sky,0.0,0.0
212,Lubao,PH,2020-04-02 19:50:40,14.92,120.55,79.0,73,20,2.24,few clouds,0.0,0.0
213,Swakopmund,NA,2020-04-02 19:50:40,-22.68,14.53,60.01,94,0,1.01,clear sky,0.0,0.0
214,Antigonish,CA,2020-04-02 19:50:40,45.62,-62.0,43.0,100,90,21.92,light rain,0.0,0.0
215,Karaton,ID,2020-04-02 19:50:40,-6.34,106.1,78.8,83,20,6.93,few clouds,0.0,0.0
216,Yar-Sale,RU,2020-04-02 19:48:26,66.83,70.83,16.14,94,96,13.96,overcast clouds,0.0,0.0
217,Cayenne,GF,2020-04-02 19:48:30,4.93,-52.33,80.6,78,100,1.12,light rain,0.07204724409448819,0.0
218,Mehamn,NO,2020-04-02 19:48:50,71.04,27.85,24.8,78,73,12.75,broken clouds,0.0,0.0
219,Kudahuvadhoo,MV,2020-04-02 19:50:41,2.67,72.89,83.19,74,35,6.44,scattered clouds,0.0,0.0
220,Hualmay,PE,2020-04-02 19:50:41,-11.1,-77.61,79.32,60,24,8.97,few clouds,0.0,0.0
221,West Bay,KY,2020-04-02 19:47:37,19.37,-81.42,86.0,62,20,8.05,few clouds,0.0,0.0
222,Comodoro Rivadavia,AR,2020-04-02 19:47:48,-45.87,-67.5,73.4,35,5,6.93,clear sky,0.0,0.0
223,Verkhniy Uslon,RU,2020-04-02 19:50:42,55.77,48.98,35.6,64,100,6.71,overcast clouds,0.0,0.0
224,Sisimiut,GL,2020-04-02 19:50:43,66.94,-53.67,6.44,83,0,10.71,clear sky,0.0,0.0
225,Lilongwe,MW,2020-04-02 19:50:43,-13.97,33.79,60.26,68,5,3.87,clear sky,0.0,0.0
226,Soe,ID,2020-04-02 19:50:43,-9.86,124.28,66.18,81,9,1.57,clear sky,0.0,0.0
227,Lima,PE,2020-04-02 19:50:43,-12.04,-77.03,78.8,65,1,9.17,clear sky,0.0,0.0
